id,dwc:catalogNumber,dwc:recordedBy,dwc:recordNumber,dwc:country,dwc:kingdom,dwc:family,dwc:genus,dwc:specificEpithet,dwc:stateProvince,dwc:eventDate,edit_states,lenghtOfRedcordedBy,year,edit_recordedBy
59ec3d28-386b-41d8-a920-c3cd834d7063,nha-523613,a. r. hodgdon; f. hunt; g. mckrone; r. carrier,5105,united states,plantae,asteraceae,symphyotrichum,racemosum,new hampshire,1944-10-17T00:00:00+00:00,new hampshire,46,1944,a. r. hodgdon; f. hunt; g. mckrone; r. carrier
ac46c1f8-5ce6-41f1-93a0-957970d2d5ec,barcode-00232967,j. t. richardson & f. c. seymour,6167,united states,plantae,cyperaceae,carex,echinata,massachusetts,1944-06-23T00:00:00+00:00,massachusetts,32,1944,j. t. richardson & f. c. seymour
793e2e3a-fafe-481a-a4a0-6fe2da4f2d41,00461239,mrs. benjamin s. merigold;,,united states,plantae,ericaceae,gaylussacia,baccata,massachusetts,1944-05-14T00:00:00+00:00,massachusetts,26,1944,b. s. merigold
259a1757-7793-4392-b136-6bdd8c9eaabd,90241867,richard t. wareham,3422,united states,plantae,dicranaceae,dicranum,flagellare,massachusetts,1944-10-25,massachusetts,18,1944,r. t. wareham
89e0c458-bf66-4431-9e97-f71e807c5728,barcode-00580335,a. r. hodgdon; h. s. clapp & a. f. yeager,4822,united states,plantae,rhamnaceae,,,new hampshire,1944-08-29T19:44:00+00:00,new hampshire,41,1944,a. r. hodgdon; h. s. clapp & a. f. yeager
f268b21d-5a33-4c30-87ed-4f18872d8fc9,00594825,dr.; mrs. b. n. gates,188,united states,plantae,poaceae,eragrostis,pilosa,massachusetts,1944-08-24T00:00:00+00:00,massachusetts,21,1944,b. n. gates & mrs. b. n. gates
0c8bbc61-ac27-4266-b054-6e007a60c708,barcode-00267574,j. t. richardson & f. c. seymour,7089,united states,plantae,onagraceae,,,massachusetts,1944-08-31T00:00:00+00:00,massachusetts,32,1944,j. t. richardson & f. c. seymour
95bb6f97-25ef-4a88-b9e1-37309403072e,conn00172661,"""gates, burton n.; gates, winifred; seymour, f. c.""",,united states,plantae,selaginellaceae,selaginella,apoda,massachusetts,1944-07-27T00:00:00+00:00,massachusetts,48,1944,b. n. gates; w. gates; f. c. seymour
4e17b633-115c-44ba-bb12-8b43e24777e8,barcode-00572972,ellen c. rice & f. c. seymour,6874,united states,plantae,rubiaceae,,,massachusetts,1944-08-07T19:44:00-07:00,massachusetts,29,1944,e. c. rice & f. c. seymour
96847e40-37b5-4818-b523-cac6c10a5553,conn00124691,burton n. gates & winifred c. gates,"""20,863""",united states,plantae,cyperaceae,scirpus,atrovirens,massachusetts,1944-09-17T00:00:00+00:00,massachusetts,25,1944,b. n. gates & w. c. gates
f93c74a8-b32e-40c7-8f89-98d87810a958,barcode-00218307,f. c. seymour et aliis,6135,united states,plantae,cyperaceae,,,massachusetts,1944-06-08T00:00:00+00:00,massachusetts,22,1944,f. c. seymour et aliis
e148d4be-dadb-4dca-82b9-f2ce4899f8f4,conn00174584,"""gates, burton n.; gates, winifred; seymour, f. c.""",,united states,plantae,dryopteridaceae,dryopteris,spinulosa,massachusetts,1944-08-27T00:00:00+00:00,massachusetts,48,1944,b. n. gates; w. gates; f. c. seymour
d74d6e94-f57a-4e7b-841e-cdfa8b2d5a43,barcode-00614414,j. t. richardson & f. c. seymour,6309,united states,plantae,rubiaceae,,,massachusetts,1944-07-31T19:44:00+00:00,massachusetts,32,1944,j. t. richardson & f. c. seymour
88dedb7f-45c2-4db8-acea-82b2c6d95164,00766224,r. m. schuster; w. rader,,united states,plantae,cephaloziaceae,nowellia,curvifolia,new york,1944-04-17T00:00:00+00:00,new york,24,1944,r. m. schuster; w. rader
ae75fa22-49bf-4110-a5fb-7725ad44d801,00699100,b. n. gates; mrs. b. n. gates; i. c. shattuck; f. c. seymour,6982,united states,plantae,euphorbiaceae,chamaesyce,maculata,massachusetts,1944-08-24T00:00:00+00:00,massachusetts,60,1944,b. n. gates; mrs. b. n. gates; i. c. shattuck & f. c. seymour
ee7e4228-2a2d-402e-900b-fedb7bdcbda4,conn00174000,"""gates, burton n.; gates, winifred; seymour, f. c.""",7192,united states,plantae,dryopteridaceae,deparia,acrosticoides,massachusetts,1944-09-21T00:00:00+00:00,massachusetts,48,1944,b. n. gates; w. gates; f. c. seymour
1f21b2ca-48be-48a8-af8e-1bb4b900ed1c,20108,arnold arboretum,298,united states,plantae,cupressaceae,juniperus,sargentii,massachusetts,1944-01-12T00:00:00+00:00,massachusetts,16,1944,arnold arboretum
2d64b40c-d0d9-40ca-aced-ea770dfa002d,barcode-00510450,b. n. gates & w. c. gates,,united states,plantae,ricciaceae,,,massachusetts,1944-08-20T00:00:00+00:00,massachusetts,25,1944,b. n. gates & w. c. gates
1a24babc-68bf-4e6b-ae36-710e26bb7f7a,00485910,"dr. b. n. gates; mrs. b. n. gates, miss i. c. shattuck, ; f. c. seymour",6969,united states,plantae,hypoxidaceae,hypoxis,hirsuta,massachusetts,1944-08-24T00:00:00+00:00,massachusetts,71,1944,b. n. gates ; mrs. b. n. gates; miss i. c. shattuck  & f. c. seymour
e7db4d49-6536-4dfe-ad43-19dd669aeb51,conn00072867,"""richardson, jane t.;""",,united states,plantae,eriocaulaceae,eriocaulon,septangulare,massachusetts,1944-08-31T00:00:00+00:00,massachusetts,20,1944,j. t. richardson
24f17662-ad7d-4164-b823-71c22026ace3,conn00108233,"""thies, w.h.; seymour, f.c.""",6913,united states,plantae,droseraceae,drosera,intermedia,massachusetts,1944-08-19T00:00:00+00:00,massachusetts,26,1944,"thies, w.h.; f. c. seymour"
c3de4695-4876-45fc-8305-7f9d756ed88a,conn00112209,"""bill, the misses;""",24201,united states,plantae,ericaceae,vaccinium,corymbosum,massachusetts,1944-05-31T00:00:00+00:00,massachusetts,17,1944,the misses bill
e8ba2629-2961-42ff-b670-92107f8af6cd,conn00177036,hadwen botanical club,17709,united states,plantae,dennstaedtiaceae,dennstaedtia,punctilobula,massachusetts,1944-06-18T00:00:00+00:00,massachusetts,21,1944,hadwen botanical club
54ced55d-6c0e-4674-b136-75e402704117,barcode-00536537,b. c. tan s. cooper ellis,94-145,united states,plantae,andreaeaceae,,,new york,1944-09-11T00:00:00+00:00,new york,25,1944,b. c. tan s. c. ellis
4c5196e1-03bc-4ce0-89bd-88f5157cf4f5,00562973,c. a. weatherby; u. f. weatherby,7337,united states,plantae,rosaceae,rosa,rugosa,massachusetts,1944-08-28T00:00:00+00:00,massachusetts,32,1944,c. a. weatherby; u. f. weatherby
e235a46e-5888-48d9-bddd-4bfd7224e124,90209560,richard t. wareham,3421,united states,plantae,aulacomniaceae,aulacomnium,palustre,massachusetts,1944-10-26,massachusetts,18,1944,r. t. wareham
90eee465-dfc0-4d64-bdb3-31c120dcc0ee,00502406,dr. b. n. gates; mrs. b. n. gates ; f. c. seymour,6266,united states,plantae,plantaginaceae,gratiola,aurea,massachusetts,1944-07-27T00:00:00+00:00,massachusetts,49,1944,b. n. gates ; mrs. b. n. gates & f. c. seymour
da28087a-40b2-47e7-a4c1-6f5208d994f6,conn00175691,burton n. gates & winifred c. gates,,united states,plantae,dryopteridaceae,dryopteris,cristata,massachusetts,1944-08-20T00:00:00+00:00,massachusetts,25,1944,b. n. gates & w. c. gates
8f53ae94-d923-4ee8-ae90-e842784a9b5b,conn00099467,"""gates, burton n.; gates, winifred; seymour, f. c.""",20992,united states,plantae,convolvulaceae,cuscuta,gronovii,massachusetts,1944-08-27T00:00:00+00:00,massachusetts,48,1944,b. n. gates; w. gates; f. c. seymour
a4e9d00e-4779-4a53-ba28-73604de3a005,conn00154334,"""richardson, jane t.;""",23879,united states,plantae,orchidaceae,spiranthes,cernua,massachusetts,1944-09-04T00:00:00+00:00,massachusetts,20,1944,j. t. richardson
92e7a211-313f-4bc4-9916-d694a29adaf1,conn00133027,"""edwards, james l""",,united states,plantae,rosaceae,rubus,,new jersey,1944-06-10T00:00:00+00:00,new jersey,16,1944,"edwards, james l"
9d80421a-320b-4718-9a69-4e7e221346ff,conn00124713,burton n. gates & winifred c. gates,,united states,plantae,cyperaceae,carex,torta,massachusetts,1944-05-26T00:00:00+00:00,massachusetts,25,1944,b. n. gates & w. c. gates
544bd572-deea-40de-b279-6b140a260604,barcode-00563428,dr.  b. n. gates ; mrs. b. n. gates & f. c. seymour,7187,united states,plantae,myricaceae,,,massachusetts,1944-09-21T19:44:00-21:00,massachusetts,51,1944,b. n. gates ; mrs. b. n. gates & f. c. seymour
39ce8061-76bb-4e0d-8ddd-7fdebcdf006c,conn00124677,"""gates, burton noble; gates, winifred c.;""","""20,861""",united states,plantae,cyperaceae,scirpus,atrovirens,massachusetts,1944-10-07T00:00:00+00:00,massachusetts,40,1944,b. n. gates & w. c. gates
ea95790b-a6fc-4f61-bd68-4d316e50a5a0,00502905,mrs. jane t. richardson; f. c. seymour,6301,united states,plantae,cabombaceae,brasenia,schreberi,massachusetts,1944-07-31T00:00:00+00:00,massachusetts,38,1944,j. t. richardson & f. c. seymour
58113006-e9bc-41c8-80c1-59c71705e25a,barcode-00583699,w. p. smith & a. s. pease,"30,581",united states,plantae,poaceae,,,vermont,1944-06-30T19:44:00+00:00,vermont,25,1944,a. s. pease & w. p. smith
d038a92f-80e9-42bf-b7e8-dcbbb172f863,conn00026606,"""chrysler, mintin asbury;""",,united states,plantae,asteraceae,helenium,autumnale,new jersey,1944-10-10T00:00:00+00:00,new jersey,24,1944,"chrysler, mintin asbury;"
9df6d46b-3bcb-4d6d-ad5e-8628f72cbcb6,conn00127799,"""richardson, jane t.;""",,united states,plantae,oleaceae,fraxinus,nigra,massachusetts,1944-08-18T00:00:00+00:00,massachusetts,20,1944,j. t. richardson
c806b39c-c90b-4bf9-be6f-e895903bf81b,conn00083206,burton n. gates & winifred c. gates,18118,united states,plantae,araliaceae,aralia,hispida,massachusetts,1944-10-07T00:00:00+00:00,massachusetts,25,1944,b. n. gates & w. c. gates
dbbc11a6-6a6c-40e0-974d-2818ff0a7402,barcode-00551619,dr.  b. n. gates ; mrs. b. n. gates & f. c. seymour,7192,united states,plantae,athyriaceae,,,massachusetts,1944-09-21T19:44:00-21:00,massachusetts,51,1944,b. n. gates ; mrs. b. n. gates & f. c. seymour
c713e842-a6ff-492a-94dc-548fde69c3d2,barcode-00299455,a. r. hodgdon & h. a. giddings,4798,united states,plantae,cyperaceae,carex,lacustris,new hampshire,1944-07-07T00:00:00+00:00,new hampshire,30,1944,a. r. hodgdon & h. a. giddings
f7573e6e-efe7-47cc-839f-fec67cd646b2,barcode-00260063,f. c. seymour & b. n. gates,,united states,plantae,cyperaceae,carex,gynandra,massachusetts,1944-06-08T00:00:00+00:00,massachusetts,27,1944,f. c. seymour & b. n. gates
c082ae78-1a05-4d27-b311-6b85b07097ac,barcode-00510082,b. n. gates & w. c. gates,,united states,plantae,ricciaceae,,,massachusetts,1944-10-26T00:00:00+00:00,massachusetts,25,1944,b. n. gates & w. c. gates
671192b0-e320-4f9d-a854-d8b5de7b7bf1,00598906,j. t. richardson;,,united states,plantae,amaranthaceae,chenopodium,bonus-henricus,massachusetts,1944-09-07T00:00:00+00:00,massachusetts,17,1944,j. t. richardson
b47d149c-a0bf-4a6b-9cf1-0280c3aa93d2,00606562,a. r. hodgdon; g. mccrone; f. hunt; r. carrier,4991,united states,plantae,berberidaceae,berberis,thunbergii,new hampshire,1944-10-10T00:00:00+00:00,new hampshire,46,1944,a. r. hodgdon; g. mccrone; f. hunt & r. carrier
a00e01ba-5040-4fa0-a256-3aa78d804c67,barcode-00232968,f. c. seymour et aliis,6139,united states,plantae,cyperaceae,carex,echinata,massachusetts,1944-06-08T00:00:00+00:00,massachusetts,22,1944,f. c. seymour et aliis
95c24da9-c1a2-416f-8b7a-e07adf91626a,540760,w. s. allen; l. d. stair,s. n.,united states,plantae,amblystegiaceae,amblystegium,varium,pennsylvania,1944-06-03T00:00:00+00:00,pennsylvania,24,1944,l. d. stair; w. s. allen
a49226c1-845d-468e-8c12-74d6658914f5,conn00173868,burton n. gates & winifred c. gates,,united states,plantae,ophioglossaceae,botrychium,dissectum,massachusetts,1944-07-27T00:00:00+00:00,massachusetts,25,1944,b. n. gates & w. c. gates
a4355883-24b6-4528-b36f-69f0b34b8dd5,00245460,r. m. schuster; wm. rader,,united states,plantae,jungermanniaceae,mylia,anomala,new york,1944-05-16T00:00:00+00:00,new york,25,1944,r. m. schuster; wm. rader
15a8f81b-b746-474e-af6d-046c231cbca8,barcode-00510133,w. c. gates & b. n. gates,s.n.,united states,plantae,ricciaceae,riccia,crystallina,massachusetts,1944-10-26T00:00:00+00:00,massachusetts,25,1944,b. n. gates & w. c. gates
ac3cc4da-a7c7-4fac-b232-f179dab6676d,barcode-00510082,b. n. gates & w. c. gates,s.n.,united states,plantae,ricciaceae,,,massachusetts,1944-10-26T00:00:00+00:00,massachusetts,25,1944,b. n. gates & w. c. gates
7c2bb147-27cb-44e4-826b-a37ee62f5c11,146888,"moldenke, harold n",16350,united states,plantae,hypnaceae,herzogiella,turfacea,pennsylvania,1944-06-21T00:00:00+00:00,pennsylvania,18,1944,h. n. moldenke
72c6564f-3125-494c-b011-fd3632206d53,00524548,s. n. f. sanford;,,united states,plantae,rosaceae,potentilla,recta,massachusetts,1944-06-08T00:00:00+00:00,massachusetts,16,1944,s. n. f. sanford
