id,dwc:catalogNumber,dwc:recordedBy,dwc:recordNumber,dwc:country,dwc:kingdom,dwc:family,dwc:genus,dwc:specificEpithet,dwc:stateProvince,dwc:eventDate,edit_states,lenghtOfRedcordedBy,year,edit_recordedBy
7c9b6f07-5a4e-4a15-8b02-bd8a65a2db2d,nha-539669,a. r. hodgdon; m. c. richards,5067,united states,plantae,asteraceae,,,new hampshire,1941-08-15T00:00:00+00:00,new hampshire,29,1941,a. r. hodgdon; m. c. richards
6a7fb117-f299-44d5-be43-9e2c258c8e86,00516280,w. t. winne; w. c. muenscher & e. l. shannon,228,united states,plantae,fontinalaceae,fontinalis,novae-angliae,new york,1941-06-15T00:00:00+00:00,new york,44,1941,w. t. winne; e. l. shannon & w. c. muenscher
6a671738-4354-46e0-a6dd-5c40743e3d9a,conn00112215,hadwen botanical club,"""17,333""",united states,plantae,ericaceae,vaccinium,corymbosum,massachusetts,1941-05-04T00:00:00+00:00,massachusetts,21,1941,hadwen botanical club
aa1d04f7-c37b-4781-b918-02c2abebd3c7,00516459,w. t. winne; e. l. shannon & w. c. muenscher,202,united states,plantae,fontinalaceae,fontinalis,novae-angliae,new york,1941-06-13T00:00:00+00:00,new york,44,1941,w. t. winne; e. l. shannon & w. c. muenscher
efeb4641-85e8-4191-a4d9-1112d7d4206f,conn00100602,hadwen botanical club,16574,united states,plantae,cornaceae,nyssa,sylvatica,massachusetts,1941-09-14T00:00:00+00:00,massachusetts,21,1941,hadwen botanical club
46358f2a-55c9-466d-bd79-ab9f9b50bb63,conn00177906,"""potter, d.; pride, m.h.""",,united states,plantae,orobanchaceae,melampyrum,lineare,massachusetts,1941-06-19T00:00:00+00:00,massachusetts,22,1941,"d. potter, m. h. pride"
6e1e07cf-247f-48a5-b49b-43fa7a30fb82,236306,"schnooberger, i.",s.n.,united states,plantae,amblystegiaceae,hygrohypnum,montanum,vermont,1941-08-02T00:00:00+00:00,vermont,16,1941,i. schnooberger
d7069b94-2e7a-482d-8073-9a958778c6fb,conn00176860,hadwen botanical club,,united states,plantae,osmundaceae,osmunda,regalis,massachusetts,1941-07-08T00:00:00+00:00,massachusetts,21,1941,hadwen botanical club
d86344f9-453c-4cb0-a51b-66c3b1c4b270,ph00112711,"r. l. schaeffer, jr.",s.n.,united states,plantae,hypnaceae,hypnum,,pennsylvania,1941-08-06T00:00:00+00:00,pennsylvania,19,1941,r. l. schaeffer jr.
ae04bc32-edaf-477a-a1ed-38ce9b7f275b,conn00072567,hadwen botanical club,23973,united states,plantae,alismataceae,sagittaria,latifolia,massachusetts,1941-08-05T00:00:00+00:00,massachusetts,21,1941,hadwen botanical club
cd2b364a-121c-4326-a0a3-9a32d7dab53d,barcode-00135931,"a. r. hodgdon, r. feuer & e. andrews",3413,united states,plantae,lycopodiaceae,diphasiastrum,digitatum,new hampshire,1941-04-18T00:00:00+00:00,new hampshire,36,1941,"a. r. hodgdon, r. feuer & e. andrews"
ae31c2ee-f47e-49d8-a123-658019c3dbc2,00437442,w. l. c. muenscher; duane isely,509,united states,plantae,fontinalaceae,fontinalis,antipyretica,new york,1941-09-09T00:00:00+00:00,new york,31,1941,w. l. c. muenscher; duane isely
d92f7701-2d99-42b6-bdf3-0243eff6a1b2,conn00135743,hadwen botanical club field trip,15670,united states,plantae,poaceae,agrostis,hyemalis,massachusetts,1941-07-08T00:00:00+00:00,massachusetts,32,1941,hadwen botanical club field trip
181862bb-096c-47f4-96b2-da32788df98e,0001319,"c. a. taylor, jr.",s.n.,united states,plantae,woodsiaceae,cystopteris,fragilis,new york,1941-05-07T00:00:00+00:00,new york,16,1941,c. a. taylor jr.
1939032f-beb6-4c81-8d57-bab200f048d8,00490548,w. t. winne; w. c. muenscher,249,united states,plantae,fontinalaceae,fontinalis,duriaei,new york,1941-06-29T00:00:00+00:00,new york,28,1941,w. t. winne; w. c. muenscher
8a95a26d-aa39-4f88-8ff4-390baf91d483,conn00112192,hadwen botanical club,17328,united states,plantae,ericaceae,vaccinium,corymbosum,massachusetts,1941-05-04T00:00:00+00:00,massachusetts,21,1941,hadwen botanical club
b559aab8-6268-461a-ad4a-de29a6f11952,conn00112213,hadwen botanical club,"""17,337""",united states,plantae,ericaceae,vaccinium,corymbosum,massachusetts,1941-05-04T00:00:00+00:00,massachusetts,21,1941,hadwen botanical club
4b4ed0e8-1c3d-4759-8c8b-2c294702bc86,conn00174538,hadwen botanical club,,united states,plantae,dryopteridaceae,dryopteris,spinulosa,massachusetts,1941-07-15T00:00:00+00:00,massachusetts,21,1941,hadwen botanical club
95c16ad4-dcc6-4038-a499-74275bfc69ce,mwi00059990,"hodgdon, a.r.; l.b. smith, d.l. smith",1915,united states,plantae,cistaceae,lechea,intermedia,new hampshire,1941-09-14T00:00:00+00:00,new hampshire,37,1941,"hodgdon, a.r.; l.b. smith, d.l. smith"
df79fd29-27d1-4b4b-86ef-6d8782044d9a,00516278,w. t. winne; w. c. muenscher,398,united states,plantae,fontinalaceae,fontinalis,novae-angliae,new york,1941-08-21T00:00:00+00:00,new york,28,1941,w. t. winne; w. c. muenscher
a9e665fb-9cd2-4042-b6bd-3f71e8fd1076,conn00176521,hadwen botanical club field trip,,united states,plantae,lycopodiaceae,lycopodiella,inundatum,massachusetts,1941-07-01T00:00:00+00:00,massachusetts,32,1941,hadwen botanical club field trip
